"duree","historique","objet","montant","epargne","anciennete_emploi","taux_endettement","statut","autres_debiteurs","domicile","biens","age","credit_exterieur","logement","emploi","nombre_personnes","telephone","cible","compte","nombre_credit","travailleur_etranger"
12,"compte critique /autres credits existants (pas dans cette banque)","business",1264,"compte d'epargne inconnu / non","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",57,"aucun credit","locataire","non qualifie","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
12,"credits deja rembourses jusqu'a maintenant","radio / television",NA,"inferieur a 100 ","inferieur a 1 an","superieur a 35%","femme:divorcee/separee/mariee","aucun","inferieur a 1 an","assurance-vie",33,"banque ","proprietaire","cadres","1 personne","avec telephone","credit bien rembourse","superieur ou egale a 200 ","1 credit","oui"
45,"compte critique /autres credits existants (pas dans cette banque)","appareils menagers",4746,"inferieur a 100 ","inferieur a 1 an","superieur a 35%","celibataire","aucun","compris entre 1 et 4 ans","assurance-vie",25,"aucun credit","proprietaire","non qualifie","1 personne","sans telephone","credit avec impaye","compris entre 0 et 200 ","2 credits","oui"
48,"compte critique /autres credits existants (pas dans cette banque)","vacances",6110,"inferieur a 100 ","compris entre 1 et 4 ans","inferieur a 20%","celibataire","aucun","compris entre 4 et 7 ans","inconnu / pas de propriete",31,"banque ","logement gratuit","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
18,"credits deja rembourses jusqu'a maintenant","appareils menagers",2100,"inferieur a 100 ","compris entre 1 et 4 ans","superieur a 35%","celibataire","co-demandeur","compris entre 1 et 4 ans","immobilier",37,"etablissements de credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit avec impaye","superieur ou egale a 200 ","1 credit","oui"
10,"credits deja rembourses jusqu'a maintenant","reparations",1225,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","compris entre 1 et 4 ans","voiture ou autre",37,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","superieur ou egale a 200 ","1 credit","oui"
9,"credits deja rembourses jusqu'a maintenant","appareils menagers",458,"inferieur a 100 ","compris entre 1 et 4 ans","superieur a 35%","celibataire","aucun","compris entre 4 et 7 ans","immobilier",24,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
30,"credits deja rembourses jusqu'a maintenant","appareils menagers",2333,"comprise entre 500 et 1000 ","superieur a 7 ans","superieur a 35%","celibataire","aucun","compris entre 1 et 4 ans","voiture ou autre",30,"banque ","proprietaire","cadres","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
12,"credits deja rembourses jusqu'a maintenant","appareils menagers",1158,"comprise entre 500 et 1000 ","compris entre 1 et 4 ans","compris entre 25% et 35%","homme:divorce/separe","aucun","inferieur a 1 an","voiture ou autre",NA,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
18,"retard dans le paiement dans le passe","education",6204,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","superieur a 7 ans","immobilier",44,"aucun credit","proprietaire","non qualifie","2 personne","avec telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
30,"compte critique /autres credits existants (pas dans cette banque)","voiture (utilise)",6187,"comprise entre 100 et 500 ","compris entre 4 et 7 ans","inferieur a 20%","homme: marie/veuf","aucun","superieur a 7 ans","voiture ou autre",24,"aucun credit","locataire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","inferieur a 0 ","2 credits","oui"
48,"compte critique /autres credits existants (pas dans cette banque)","voiture (utilise)",NA,"inferieur a 100 ","superieur a 7 ans","superieur a 35%","femme:divorcee/separee/mariee","aucun","superieur a 7 ans","inconnu / pas de propriete",58,"etablissements de credit","logement gratuit","non qualifie","1 personne","sans telephone","credit avec impaye","inferieur a 0 ","2 credits","oui"
11,"compte critique /autres credits existants (pas dans cette banque)","voiture (nouveau)",1393,"inferieur a 100 ","inferieur a 1 an","superieur a 35%","femme:divorcee/separee/mariee","aucun","superieur a 7 ans","voiture ou autre",35,"aucun credit","proprietaire","cadres","1 personne","sans telephone","credit bien rembourse","pas de compte courant","2 credits","oui"
36,"credits deja rembourses jusqu'a maintenant","appareils menagers",2299,"comprise entre 500 et 1000 ","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","voiture ou autre",39,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
6,"credits deja rembourses jusqu'a maintenant","voiture (utilise)",1352,"comprise entre 500 et 1000 ","sans emploi","inferieur a 20%","femme:divorcee/separee/mariee","aucun","compris entre 1 et 4 ans","assurance-vie",23,"aucun credit","locataire","sans emploi","1 personne","avec telephone","credit bien rembourse","inferieur a 0 ","1 credit","oui"
11,"compte critique /autres credits existants (pas dans cette banque)","voiture (nouveau)",7228,"inferieur a 100 ","compris entre 1 et 4 ans","inferieur a 20%","celibataire","aucun","superieur a 7 ans","assurance-vie",39,"aucun credit","proprietaire","non qualifie","1 personne","sans telephone","credit bien rembourse","pas de compte courant","2 credits","oui"
12,"credits deja rembourses jusqu'a maintenant","appareils menagers",2073,"comprise entre 100 et 500 ","compris entre 1 et 4 ans","superieur a 35%","femme:divorcee/separee/mariee","co-demandeur","compris entre 1 et 4 ans","immobilier",28,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
24,"retard dans le paiement dans le passe","radio / television",2333,"compte d'epargne inconnu / non","inferieur a 1 an","superieur a 35%","celibataire","aucun","compris entre 1 et 4 ans","assurance-vie",29,"banque ","proprietaire","non qualifie","1 personne","sans telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
27,"retard dans le paiement dans le passe","voiture (utilise)",5965,"inferieur a 100 ","superieur a 7 ans","inferieur a 20%","celibataire","aucun","compris entre 1 et 4 ans","voiture ou autre",30,"aucun credit","proprietaire","cadres","1 personne","avec telephone","credit bien rembourse","compris entre 0 et 200 ","2 credits","oui"
12,"credits deja rembourses jusqu'a maintenant","appareils menagers",1262,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 25% et 35%","celibataire","aucun","compris entre 1 et 4 ans","voiture ou autre",25,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
18,"credits deja rembourses jusqu'a maintenant","voiture (utilise)",3378,"compte d'epargne inconnu / non","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","inferieur a 1 an","assurance-vie",31,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
36,"retard dans le paiement dans le passe","voiture (nouveau)",2225,"inferieur a 100 ","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",57,"banque ","logement gratuit","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit avec impaye","compris entre 0 et 200 ","2 credits","oui"
6,"tous les credits de cette banque ont ete rembourses","voiture (nouveau)",783,"compte d'epargne inconnu / non","compris entre 1 et 4 ans","inferieur a 20%","celibataire","garant","compris entre 1 et 4 ans","immobilier",26,"etablissements de credit","proprietaire","non qualifie","2 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
12,"credits deja rembourses jusqu'a maintenant","appareils menagers",6468,"compte d'epargne inconnu / non","sans emploi","compris entre 20% et 25%","celibataire","aucun","inferieur a 1 an","inconnu / pas de propriete",52,"aucun credit","proprietaire","cadres","1 personne","avec telephone","credit avec impaye","compris entre 0 et 200 ","1 credit","oui"
36,"compte critique /autres credits existants (pas dans cette banque)","appareils menagers",9566,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 20% et 25%","femme:divorcee/separee/mariee","aucun","compris entre 1 et 4 ans","voiture ou autre",31,"etablissements de credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","2 credits","oui"
18,"credits deja rembourses jusqu'a maintenant","voiture (nouveau)",1961,"inferieur a 100 ","superieur a 7 ans","compris entre 25% et 35%","femme:divorcee/separee/mariee","aucun","compris entre 1 et 4 ans","voiture ou autre",23,"aucun credit","proprietaire","cadres","1 personne","sans telephone","credit bien rembourse","superieur ou egale a 200 ","1 credit","oui"
36,"compte critique /autres credits existants (pas dans cette banque)","radio / television",6229,"inferieur a 100 ","inferieur a 1 an","superieur a 35%","femme:divorcee/separee/mariee","co-demandeur","superieur a 7 ans","inconnu / pas de propriete",23,"aucun credit","locataire","non qualifie","1 personne","avec telephone","credit avec impaye","inferieur a 0 ","2 credits","oui"
9,"credits deja rembourses jusqu'a maintenant","business",1391,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 20% et 25%","homme: marie/veuf","aucun","inferieur a 1 an","immobilier",27,"banque ","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
15,"compte critique /autres credits existants (pas dans cette banque)","appareils menagers",1537,"compte d'epargne inconnu / non","superieur a 7 ans","superieur a 35%","celibataire","garant","superieur a 7 ans","immobilier",50,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","compris entre 0 et 200 ","2 credits","oui"
36,"aucun credit pris /tous les credits ont ete rembourses","business",1953,"inferieur a 100 ","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",61,"aucun credit","logement gratuit","cadres","1 personne","avec telephone","credit avec impaye","compris entre 0 et 200 ","1 credit","oui"
48,"aucun credit pris /tous les credits ont ete rembourses","business",14421,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","compris entre 1 et 4 ans","voiture ou autre",25,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit avec impaye","compris entre 0 et 200 ","1 credit","oui"
24,"credits deja rembourses jusqu'a maintenant","appareils menagers",3181,"inferieur a 100 ","inferieur a 1 an","superieur a 35%","femme:divorcee/separee/mariee","aucun","superieur a 7 ans","assurance-vie",26,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
27,"credits deja rembourses jusqu'a maintenant","education",5190,"compte d'epargne inconnu / non","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","assurance-vie",48,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","2 personne","avec telephone","credit bien rembourse","pas de compte courant","superieur a 7 ans","oui"
12,"credits deja rembourses jusqu'a maintenant","appareils menagers",2171,"inferieur a 100 ","inferieur a 1 an","compris entre 20% et 25%","femme:divorcee/separee/mariee","aucun","compris entre 1 et 4 ans","voiture ou autre",29,"banque ","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
12,"credits deja rembourses jusqu'a maintenant","voiture (nouveau)",1007,"superieur a 1000 ","compris entre 1 et 4 ans","superieur a 35%","homme: marie/veuf","aucun","inferieur a 1 an","immobilier",22,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
36,"credits deja rembourses jusqu'a maintenant","vacances",1819,"inferieur a 100 ","compris entre 1 et 4 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",37,"etablissements de credit","logement gratuit","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit avec impaye","pas de compte courant","1 credit","oui"
36,"credits deja rembourses jusqu'a maintenant","appareils menagers",2394,"compte d'epargne inconnu / non","compris entre 1 et 4 ans","superieur a 35%","femme:divorcee/separee/mariee","aucun","superieur a 7 ans","voiture ou autre",25,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
36,"credits deja rembourses jusqu'a maintenant","voiture (utilise)",8133,"inferieur a 100 ","compris entre 1 et 4 ans","inferieur a 20%","femme:divorcee/separee/mariee","aucun","compris entre 1 et 4 ans","assurance-vie",30,"banque ","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
7,"compte critique /autres credits existants (pas dans cette banque)","appareils menagers",730,"compte d'epargne inconnu / non","superieur a 7 ans","superieur a 35%","celibataire","aucun","compris entre 1 et 4 ans","assurance-vie",46,"aucun credit","locataire","non qualifie","1 personne","avec telephone","credit bien rembourse","pas de compte courant","2 credits","oui"
8,"compte critique /autres credits existants (pas dans cette banque)","mobilier / equipement",1164,"inferieur a 100 ","superieur a 7 ans","compris entre 25% et 35%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",51,"banque ","logement gratuit","cadres","2 personne","avec telephone","credit bien rembourse","inferieur a 0 ","2 credits","oui"
42,"compte critique /autres credits existants (pas dans cette banque)","business",5954,"inferieur a 100 ","compris entre 4 et 7 ans","compris entre 20% et 25%","femme:divorcee/separee/mariee","aucun","inferieur a 1 an","immobilier",41,"banque ","proprietaire","non qualifie","1 personne","sans telephone","credit bien rembourse","compris entre 0 et 200 ","2 credits","oui"
36,"credits deja rembourses jusqu'a maintenant","vacances",1977,"compte d'epargne inconnu / non","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",40,"aucun credit","proprietaire","cadres","1 personne","avec telephone","credit avec impaye","inferieur a 0 ","1 credit","oui"
12,"compte critique /autres credits existants (pas dans cette banque)","voiture (utilise)",1526,"inferieur a 100 ","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",66,"aucun credit","logement gratuit","cadres","1 personne","sans telephone","credit bien rembourse","inferieur a 0 ","2 credits","oui"
42,"credits deja rembourses jusqu'a maintenant","appareils menagers",3965,"inferieur a 100 ","inferieur a 1 an","superieur a 35%","celibataire","aucun","compris entre 4 et 7 ans","voiture ou autre",34,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit avec impaye","inferieur a 0 ","1 credit","oui"
11,"retard dans le paiement dans le passe","appareils menagers",4771,"inferieur a 100 ","compris entre 4 et 7 ans","compris entre 20% et 25%","celibataire","aucun","superieur a 7 ans","assurance-vie",51,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
54,"aucun credit pris /tous les credits ont ete rembourses","voiture (utilise)",9436,"compte d'epargne inconnu / non","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","compris entre 1 et 4 ans","assurance-vie",39,"aucun credit","proprietaire","non qualifie","2 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
30,"credits deja rembourses jusqu'a maintenant","radio / television",3832,"inferieur a 100 ","inferieur a 1 an","compris entre 20% et 25%","homme: marie/veuf","aucun","inferieur a 1 an","assurance-vie",22,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
24,"credits deja rembourses jusqu'a maintenant","appareils menagers",5943,"compte d'epargne inconnu / non","inferieur a 1 an","inferieur a 20%","femme:divorcee/separee/mariee","aucun","inferieur a 1 an","voiture ou autre",44,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit avec impaye","pas de compte courant","2 credits","oui"
15,"credits deja rembourses jusqu'a maintenant","appareils menagers",1213,"comprise entre 500 et 1000 ","superieur a 7 ans","superieur a 35%","celibataire","aucun","compris entre 4 et 7 ans","assurance-vie",47,"etablissements de credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
18,"credits deja rembourses jusqu'a maintenant","business",1568,"comprise entre 100 et 500 ","compris entre 1 et 4 ans","compris entre 25% et 35%","femme:divorcee/separee/mariee","aucun","superieur a 7 ans","assurance-vie",24,"aucun credit","locataire","non qualifie","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
24,"credits deja rembourses jusqu'a maintenant","mobilier / equipement",1755,"inferieur a 100 ","superieur a 7 ans","superieur a 35%","femme:divorcee/separee/mariee","garant","superieur a 7 ans","immobilier",58,"aucun credit","proprietaire","non qualifie","1 personne","avec telephone","credit bien rembourse","inferieur a 0 ","1 credit","oui"
