duree,historique,objet,montant,epargne,anciennete_emploi,taux_endettement,statut,autres_debiteurs,domicile,biens,age,credit_exterieur,logement,emploi,nombre_personnes,telephone,compte,nombre_credit,travailleur_etranger,taux_endettement_num,revenus_estimes,debt_to_income_ratio,credit_utilization_ratio,savings_rate,expense_to_income_ratio,repayment_capacity,payment_history_score,credit_mix_diversity,recent_inquiries_count,account_age_average,bankruptcy_risk_score,late_payment_frequency,credit_limit_usage,employment_stability_score,age_income_segment,age_income_combined,education_employment_match,regional_risk_factor,age_income_interaction,debt_income_interaction,score_utilization_interaction,amount_duration_interaction,education_employment,marital_housing,purpose_amount,age_category_income,employment_stability_payment,account_age_months,time_since_last_payment,credit_history_length,application_month,seasonal_risk_indicator,holiday_proximity,income_trend,spending_trend,credit_usage_trend,cible
12,credits deja rembourses jusqu'a maintenant,voiture (nouveau),1295.0,inferieur a 100,inferieur a 1 an,compris entre 25% et 35%,femme:divorcee/separee/mariee,aucun,inferieur a 1 an,voiture ou autre,25.0,aucun credit,locataire,employe qualifie / fonctionnaire,1 personne,sans telephone,compris entre 0 et 200,1 credit,oui,30.0,4316.666666666667,0.3,0.3,0.0,0.03,3021.666666666667,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,young,young_low,0.5,0.4,107.91666666666667,559.0083333333334,0.15,155.4,femme:divorcee/separee/mariee_inferieur a 1 an,femme:divorcee/separee/mariee_locataire,voiture (nouveau)_low,young_income_low,0.15,0.0,0.6239792399741586,14.577709314795515,11,0.2,0,-0.046341769281246226,0.19760910984514884,-0.32151197287379485,1
42,credits deja rembourses jusqu'a maintenant,business,4308.0,inferieur a 100,inferieur a 1 an,compris entre 25% et 35%,femme:divorcee/separee/mariee,aucun,superieur a 7 ans,assurance-vie,24.0,aucun credit,locataire,employe qualifie / fonctionnaire,1 personne,sans telephone,inferieur a 0,1 credit,oui,30.0,14360.0,0.3,0.3,0.0,0.030000000000000002,10052.0,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,young,young_low,0.5,0.4,344.64,6186.288,0.15,1809.36,femme:divorcee/separee/mariee_inferieur a 1 an,femme:divorcee/separee/mariee_locataire,business_medium,young_income_low,0.15,0.0,105.10672425474937,13.246126122978668,8,0.5,1,-0.04657297535702569,0.029639940703859946,-0.15254495571324286,1
12,credits deja rembourses jusqu'a maintenant,appareils menagers,1567.0,inferieur a 100,compris entre 1 et 4 ans,inferieur a 20%,femme:divorcee/separee/mariee,aucun,inferieur a 1 an,voiture ou autre,22.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,compris entre 0 et 200,1 credit,oui,15.0,10446.666666666668,0.15,0.15,0.0,0.015,8879.666666666668,0.5,0.5,0.0,0.0,0.46,0.3,0.15,0.3,young,young_low,0.5,0.4,229.82666666666668,1636.9926666666668,0.075,188.04,femme:divorcee/separee/mariee_compris entre 1 et 4 ans,femme:divorcee/separee/mariee_proprietaire,appareils menagers_low,young_income_low,0.15,0.0,53.59288630064025,13.62947302317224,5,0.4,0,0.02419622715660341,0.3112891308937898,-0.15382846995745966,0
24,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),1199.0,inferieur a 100,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,voiture ou autre,33.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,inferieur a 0,2 credits,oui,40.0,2997.5,0.4,0.4,0.0,0.04,1798.5,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,young_adult,young_adult_low,0.5,0.4,98.9175,359.40025,0.2,287.76,celibataire_superieur a 7 ans,celibataire_proprietaire,voiture (nouveau)_low,middle_income_low,0.15,0.0,7.16062875746841,4.339508545078143,4,0.3,0,-0.1913280244657798,-0.10337817271343518,-0.18798062022177295,1
15,credits deja rembourses jusqu'a maintenant,voiture (nouveau),1403.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,femme:divorcee/separee/mariee,aucun,superieur a 7 ans,voiture ou autre,28.0,aucun credit,locataire,employe qualifie / fonctionnaire,1 personne,sans telephone,inferieur a 0,1 credit,oui,22.5,6235.555555555556,0.225,0.225,0.0,0.022500000000000003,4832.555555555556,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,young_adult,young_adult_low,0.5,0.4,174.59555555555556,874.8484444444445,0.1125,210.45,femme:divorcee/separee/mariee_compris entre 1 et 4 ans,femme:divorcee/separee/mariee_locataire,voiture (nouveau)_low,young_income_low,0.15,0.0,6.020369662489901,5.513660757550426,8,0.5,1,-0.1724917832513033,0.26039457047478737,0.1658949683863497,0
24,credits deja rembourses jusqu'a maintenant,appareils menagers,1282.0,comprise entre 100 et 500,compris entre 1 et 4 ans,superieur a 35%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,voiture ou autre,32.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,inferieur a 0,1 credit,oui,40.0,3205.0,0.4,0.4,0.0,0.04000000000000001,1923.0,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,young_adult,young_adult_low,0.5,0.4,102.56,410.881,0.2,307.68,femme:divorcee/separee/mariee_compris entre 1 et 4 ans,femme:divorcee/separee/mariee_proprietaire,appareils menagers_low,middle_income_low,0.15,0.0,6.078342684967712,18.318917119997423,8,0.5,1,-0.05622875292409727,0.029686617519397166,-0.038765227754560705,1
24,compte critique /autres credits existants (pas dans cette banque),appareils menagers,2424.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,assurance-vie,53.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,pas de compte courant,2 credits,oui,40.0,6060.0,0.4,0.4,0.0,0.04,3636.0,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,mature,mature_low,0.5,0.4,321.18,1468.944,0.2,581.76,celibataire_superieur a 7 ans,celibataire_proprietaire,appareils menagers_low,senior_income_low,0.15,0.0,10.882611883814313,11.76266907686007,3,0.2,0,-0.10128311203344238,-0.09771270054216726,-0.05290296826212215,0
30,aucun credit pris /tous les credits ont ete rembourses,business,7870.5,compte d'epargne inconnu / non,inferieur a 1 an,compris entre 20% et 25%,celibataire,aucun,compris entre 4 et 7 ans,voiture ou autre,25.0,banque,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,inferieur a 0,3 credits,oui,22.5,34980.0,0.225,0.225,0.0,0.022500000000000003,27109.5,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,young,young_medium,0.5,0.4,874.5,27531.009,0.1125,2361.15,celibataire_inferieur a 1 an,celibataire_proprietaire,business_high,young_income_med,0.15,0.0,22.317834925825633,16.089004184235748,6,0.5,1,0.03142473325952739,-0.07258287510814823,-0.4007724728813507,0
24,credits deja rembourses jusqu'a maintenant,voiture (utilise),7870.5,inferieur a 100,superieur a 7 ans,superieur a 35%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,inconnu / pas de propriete,44.0,aucun credit,logement gratuit,cadres,1 personne,avec telephone,compris entre 0 et 200,1 credit,oui,40.0,19676.25,0.4,0.4,0.0,0.04,11805.75,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,adult,adult_medium,0.5,0.4,865.755,15486.1925625,0.2,1888.92,femme:divorcee/separee/mariee_superieur a 7 ans,femme:divorcee/separee/mariee_logement gratuit,voiture (utilise)_high,middle_income_med,0.15,0.0,16.9661120034101,12.169910256782767,5,0.4,0,-0.0908024075521211,-0.04805209622914802,0.1270836060418453,1
24,credits deja rembourses jusqu'a maintenant,appareils menagers,3430.0,comprise entre 500 et 1000,superieur a 7 ans,compris entre 25% et 35%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,31.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,2 personne,avec telephone,pas de compte courant,1 credit,oui,30.0,11433.333333333334,0.3,0.3,0.0,0.03,8003.333333333334,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,young_adult,young_adult_low,0.5,0.4,354.4333333333334,3921.6333333333337,0.15,823.2,celibataire_superieur a 7 ans,celibataire_proprietaire,appareils menagers_medium,middle_income_low,0.15,0.0,10.326689776618245,12.178536836974471,2,0.1,0,-0.14123037013352915,0.06362489196028746,-0.24785167897069452,0
9,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),2134.0,inferieur a 100,compris entre 1 et 4 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,voiture ou autre,48.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,pas de compte courant,3 credits,oui,40.0,5335.0,0.4,0.4,0.0,0.04,3201.0,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,mature,mature_low,0.5,0.4,256.08,1138.489,0.2,192.06,celibataire_compris entre 1 et 4 ans,celibataire_proprietaire,voiture (nouveau)_low,middle_income_low,0.15,0.0,28.39112621699396,17.629702835855987,8,0.5,1,0.14656487689215542,0.07842532320532494,0.011986526053265651,0
6,credits deja rembourses jusqu'a maintenant,appareils menagers,2647.0,comprise entre 500 et 1000,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 4 et 7 ans,immobilier,44.0,aucun credit,locataire,employe qualifie / fonctionnaire,2 personne,sans telephone,inferieur a 0,1 credit,oui,22.5,11764.444444444443,0.225,0.225,0.0,0.022500000000000003,9117.444444444443,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,adult,adult_low,0.5,0.4,517.6355555555555,3114.048444444444,0.1125,158.82,celibataire_compris entre 1 et 4 ans,celibataire_locataire,appareils menagers_low,middle_income_low,0.15,0.0,4.50703586182016,8.903731630695756,12,0.8,1,-0.02257763004865357,-0.08605500059078684,0.05547538759163834,0
10,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),2241.0,inferieur a 100,inferieur a 1 an,inferieur a 20%,celibataire,aucun,compris entre 4 et 7 ans,immobilier,48.0,aucun credit,locataire,non qualifie,2 personne,sans telephone,inferieur a 0,2 credits,non,15.0,14940.0,0.15,0.15,0.0,0.015000000000000001,12699.0,0.5,0.5,0.0,0.0,0.46,0.3,0.15,0.3,mature,mature_low,0.5,0.4,717.12,3348.054,0.075,224.1,celibataire_inferieur a 1 an,celibataire_locataire,voiture (nouveau)_low,middle_income_low,0.15,0.0,10.365465360072069,12.5767246616459,6,0.5,1,0.006752820468792384,-0.003653188839147426,0.2721317191677302,0
12,compte critique /autres credits existants (pas dans cette banque),voiture (utilise),1804.0,comprise entre 100 et 500,inferieur a 1 an,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,assurance-vie,44.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,compris entre 0 et 200,1 credit,oui,30.0,6013.333333333334,0.3,0.3,0.0,0.03,4209.333333333334,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,adult,adult_low,0.5,0.4,264.5866666666667,1084.8053333333335,0.15,216.48,celibataire_inferieur a 1 an,celibataire_proprietaire,voiture (utilise)_low,middle_income_low,0.15,0.0,13.688316546625412,9.226348267769746,2,0.1,0,-0.14247481862134567,0.32134055379177956,-0.26176407982382244,0
10,compte critique /autres credits existants (pas dans cette banque),radio / television,2069.0,compte d'epargne inconnu / non,compris entre 1 et 4 ans,compris entre 20% et 25%,homme: marie/veuf,aucun,inferieur a 1 an,voiture ou autre,26.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,pas de compte courant,2 credits,non,22.5,9195.555555555555,0.22500000000000003,0.225,0.0,0.022500000000000003,7126.555555555555,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,young_adult,young_adult_low,0.5,0.4,239.08444444444444,1902.5604444444443,0.1125,206.9,homme: marie/veuf_compris entre 1 et 4 ans,homme: marie/veuf_proprietaire,radio / television_low,young_income_low,0.15,0.0,18.26804063579325,9.393022635406107,12,0.8,1,-0.05443827245251827,0.2591314755151067,-0.6039024311641651,0
6,credits deja rembourses jusqu'a maintenant,radio / television,1374.0,inferieur a 100,compris entre 1 et 4 ans,inferieur a 20%,celibataire,aucun,compris entre 1 et 4 ans,immobilier,36.0,banque,proprietaire,non qualifie,1 personne,avec telephone,inferieur a 0,1 credit,oui,15.0,9160.0,0.15,0.15,0.0,0.015000000000000001,7786.0,0.5,0.5,0.0,0.0,0.46,0.3,0.15,0.3,adult,adult_low,0.5,0.4,329.76,1258.584,0.075,82.44,celibataire_compris entre 1 et 4 ans,celibataire_proprietaire,radio / television_low,middle_income_low,0.15,0.0,46.13808033092736,10.144967259188164,5,0.4,0,0.01109225897098661,0.06544855045110481,0.03676990895073897,0
6,aucun credit pris /tous les credits ont ete rembourses,appareils menagers,426.0,inferieur a 100,superieur a 7 ans,superieur a 35%,homme: marie/veuf,aucun,superieur a 7 ans,voiture ou autre,33.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,pas de compte courant,1 credit,oui,40.0,1065.0,0.4,0.4,0.0,0.04,639.0,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,young_adult,young_adult_low,0.5,0.4,35.145,45.369,0.2,25.56,homme: marie/veuf_superieur a 7 ans,homme: marie/veuf_proprietaire,appareils menagers_low,middle_income_low,0.15,0.0,6.6820758638607085,13.332802629802277,1,0.1,0,-0.11509935774223029,0.005700521725230043,0.36010223630217075,0
12,tous les credits de cette banque ont ete rembourses,appareils menagers,409.0,superieur a 1000,compris entre 1 et 4 ans,compris entre 25% et 35%,femme:divorcee/separee/mariee,aucun,compris entre 4 et 7 ans,immobilier,42.0,aucun credit,locataire,employe qualifie / fonctionnaire,1 personne,sans telephone,superieur ou egale a 200,2 credits,oui,30.0,1363.3333333333335,0.3,0.3,0.0,0.030000000000000002,954.3333333333335,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,adult,adult_low,0.5,0.4,57.260000000000005,55.760333333333335,0.15,49.08,femme:divorcee/separee/mariee_compris entre 1 et 4 ans,femme:divorcee/separee/mariee_locataire,appareils menagers_low,middle_income_low,0.15,0.0,21.660874650993833,9.127508270019137,12,0.8,1,0.0375698018345672,0.018004699007739194,0.24778927058788747,0
7,credits deja rembourses jusqu'a maintenant,appareils menagers,2415.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 25% et 35%,celibataire,garant,compris entre 1 et 4 ans,immobilier,34.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,compris entre 0 et 200,1 credit,oui,30.0,8050.0,0.3,0.3,0.0,0.03,5635.0,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,young_adult,young_adult_low,0.5,0.4,273.7,1944.075,0.15,169.05,celibataire_compris entre 1 et 4 ans,celibataire_proprietaire,appareils menagers_low,middle_income_low,0.15,0.0,26.925141639292818,19.534536753441124,10,0.3,0,-0.0600638689918805,0.09202769590956249,0.04193188305492516,0
42,retard dans le paiement dans le passe,business,6836.0,inferieur a 100,superieur a 7 ans,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,63.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,inferieur a 0,2 credits,oui,30.0,22786.666666666668,0.3,0.3,0.0,0.03,15950.666666666668,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,senior,senior_medium,0.5,0.4,1435.56,15576.965333333334,0.15,2871.12,celibataire_superieur a 7 ans,celibataire_proprietaire,business_high,senior_income_med,0.15,0.0,1.4269154926922563,6.632356186682976,6,0.5,1,-0.02916937497932768,-0.15341888477976082,-0.09832723712640948,1
18,credits deja rembourses jusqu'a maintenant,business,1913.0,superieur a 1000,inferieur a 1 an,compris entre 25% et 35%,homme: marie/veuf,aucun,compris entre 4 et 7 ans,immobilier,36.0,banque,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,compris entre 0 et 200,1 credit,oui,30.0,6376.666666666667,0.3,0.3,0.0,0.03,4463.666666666667,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,adult,adult_low,0.5,0.4,229.56,1219.8563333333334,0.15,344.34,homme: marie/veuf_inferieur a 1 an,homme: marie/veuf_proprietaire,business_low,middle_income_low,0.15,0.0,28.059990619488303,10.878770135031846,12,0.8,1,-0.060170661222939695,-0.03860648061350176,0.16142451932746207,0
24,credits deja rembourses jusqu'a maintenant,radio / television,4020.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,27.0,etablissements de credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,inferieur a 0,1 credit,oui,22.5,17866.666666666668,0.22499999999999998,0.225,0.0,0.0225,13846.666666666668,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,young_adult,young_adult_low,0.5,0.4,482.40000000000003,7182.4,0.1125,964.8,celibataire_compris entre 1 et 4 ans,celibataire_proprietaire,radio / television_medium,young_income_low,0.15,0.0,5.608837559322493,9.36161365035495,9,0.4,0,0.18522781845089378,-0.2502876110816384,-0.19470923994089373,0
18,credits deja rembourses jusqu'a maintenant,voiture (nouveau),5866.0,comprise entre 100 et 500,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,30.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,compris entre 0 et 200,2 credits,oui,22.5,26071.11111111111,0.225,0.225,0.0,0.022500000000000003,20205.11111111111,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,young_adult,young_adult_medium,0.5,0.4,782.1333333333332,15293.313777777776,0.1125,1055.88,celibataire_compris entre 1 et 4 ans,celibataire_proprietaire,voiture (nouveau)_high,young_income_med,0.15,0.0,2.0179179263791274,20.6818673061224,1,0.1,0,-0.0013497224737933921,0.05988346839079189,0.09527155387124386,0
12,compte critique /autres credits existants (pas dans cette banque),business,1264.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,57.0,aucun credit,locataire,non qualifie,1 personne,sans telephone,pas de compte courant,1 credit,oui,40.0,3160.0,0.4,0.4,0.0,0.04,1896.0,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,senior,senior_low,0.5,0.4,180.12,399.424,0.2,151.68,celibataire_superieur a 7 ans,celibataire_locataire,business_low,senior_income_low,0.15,0.0,89.21063380520792,13.179328659069448,11,0.2,0,-0.10577109289559004,0.09707939095541115,0.10109403183332538,0
12,credits deja rembourses jusqu'a maintenant,radio / television,2319.0,inferieur a 100,inferieur a 1 an,superieur a 35%,femme:divorcee/separee/mariee,aucun,inferieur a 1 an,assurance-vie,33.0,banque,proprietaire,cadres,1 personne,avec telephone,superieur ou egale a 200,1 credit,oui,40.0,5797.5,0.4,0.4,0.0,0.04,3478.5,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,young_adult,young_adult_low,0.5,0.4,191.3175,1344.44025,0.2,278.28,femme:divorcee/separee/mariee_inferieur a 1 an,femme:divorcee/separee/mariee_proprietaire,radio / television_low,middle_income_low,0.15,0.0,101.11891027383518,18.19106723681181,11,0.2,0,0.08225449121031891,-0.07247796934490609,0.21204198149977596,0
