duree,historique,objet,montant,epargne,anciennete_emploi,taux_endettement,statut,autres_debiteurs,domicile,biens,age,credit_exterieur,logement,emploi,nombre_personnes,telephone,cible,compte,nombre_credit,travailleur_etranger
12,credits deja rembourses jusqu'a maintenant,voiture (nouveau),1295.0,inferieur a 100,inferieur a 1 an,compris entre 25% et 35%,femme:divorcee/separee/mariee,aucun,inferieur a 1 an,voiture ou autre,25.0,aucun credit,locataire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit avec impaye,compris entre 0 et 200,1 credit,oui
42,credits deja rembourses jusqu'a maintenant,business,4308.0,inferieur a 100,inferieur a 1 an,compris entre 25% et 35%,femme:divorcee/separee/mariee,aucun,superieur a 7 ans,assurance-vie,24.0,aucun credit,locataire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit avec impaye,inferieur a 0,1 credit,oui
12,credits deja rembourses jusqu'a maintenant,appareils menagers,1567.0,inferieur a 100,compris entre 1 et 4 ans,inferieur a 20%,femme:divorcee/separee/mariee,aucun,inferieur a 1 an,voiture ou autre,22.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
24,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),1199.0,inferieur a 100,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,voiture ou autre,33.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,credit avec impaye,inferieur a 0,2 credits,oui
15,credits deja rembourses jusqu'a maintenant,voiture (nouveau),1403.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,femme:divorcee/separee/mariee,aucun,superieur a 7 ans,voiture ou autre,28.0,aucun credit,locataire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,inferieur a 0,1 credit,oui
24,credits deja rembourses jusqu'a maintenant,appareils menagers,1282.0,comprise entre 100 et 500,compris entre 1 et 4 ans,superieur a 35%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,voiture ou autre,32.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,credit avec impaye,inferieur a 0,1 credit,oui
24,compte critique /autres credits existants (pas dans cette banque),appareils menagers,2424.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,assurance-vie,53.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,2 credits,oui
30,aucun credit pris /tous les credits ont ete rembourses,business,7870.5,compte d'epargne inconnu / non,inferieur a 1 an,compris entre 20% et 25%,celibataire,aucun,compris entre 4 et 7 ans,voiture ou autre,25.0,banque,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,inferieur a 0,3 credits,oui
24,credits deja rembourses jusqu'a maintenant,voiture (utilise),7870.5,inferieur a 100,superieur a 7 ans,superieur a 35%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,inconnu / pas de propriete,44.0,aucun credit,logement gratuit,cadres,1 personne,avec telephone,credit avec impaye,compris entre 0 et 200,1 credit,oui
24,credits deja rembourses jusqu'a maintenant,appareils menagers,3430.0,comprise entre 500 et 1000,superieur a 7 ans,compris entre 25% et 35%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,31.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,2 personne,avec telephone,credit bien rembourse,pas de compte courant,1 credit,oui
9,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),2134.0,inferieur a 100,compris entre 1 et 4 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,voiture ou autre,48.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,pas de compte courant,3 credits,oui
6,credits deja rembourses jusqu'a maintenant,appareils menagers,2647.0,comprise entre 500 et 1000,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 4 et 7 ans,immobilier,44.0,aucun credit,locataire,employe qualifie / fonctionnaire,2 personne,sans telephone,credit bien rembourse,inferieur a 0,1 credit,oui
10,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),2241.0,inferieur a 100,inferieur a 1 an,inferieur a 20%,celibataire,aucun,compris entre 4 et 7 ans,immobilier,48.0,aucun credit,locataire,non qualifie,2 personne,sans telephone,credit bien rembourse,inferieur a 0,2 credits,non
12,compte critique /autres credits existants (pas dans cette banque),voiture (utilise),1804.0,comprise entre 100 et 500,inferieur a 1 an,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,assurance-vie,44.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
10,compte critique /autres credits existants (pas dans cette banque),radio / television,2069.0,compte d'epargne inconnu / non,compris entre 1 et 4 ans,compris entre 20% et 25%,homme: marie/veuf,aucun,inferieur a 1 an,voiture ou autre,26.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,2 credits,non
6,credits deja rembourses jusqu'a maintenant,radio / television,1374.0,inferieur a 100,compris entre 1 et 4 ans,inferieur a 20%,celibataire,aucun,compris entre 1 et 4 ans,immobilier,36.0,banque,proprietaire,non qualifie,1 personne,avec telephone,credit bien rembourse,inferieur a 0,1 credit,oui
6,aucun credit pris /tous les credits ont ete rembourses,appareils menagers,426.0,inferieur a 100,superieur a 7 ans,superieur a 35%,homme: marie/veuf,aucun,superieur a 7 ans,voiture ou autre,33.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
12,tous les credits de cette banque ont ete rembourses,appareils menagers,409.0,superieur a 1000,compris entre 1 et 4 ans,compris entre 25% et 35%,femme:divorcee/separee/mariee,aucun,compris entre 4 et 7 ans,immobilier,42.0,aucun credit,locataire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,superieur ou egale a 200,2 credits,oui
7,credits deja rembourses jusqu'a maintenant,appareils menagers,2415.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 25% et 35%,celibataire,garant,compris entre 1 et 4 ans,immobilier,34.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
42,retard dans le paiement dans le passe,business,6836.0,inferieur a 100,superieur a 7 ans,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,63.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit avec impaye,inferieur a 0,2 credits,oui
18,credits deja rembourses jusqu'a maintenant,business,1913.0,superieur a 1000,inferieur a 1 an,compris entre 25% et 35%,homme: marie/veuf,aucun,compris entre 4 et 7 ans,immobilier,36.0,banque,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
24,credits deja rembourses jusqu'a maintenant,radio / television,4020.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,27.0,etablissements de credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,inferieur a 0,1 credit,oui
18,credits deja rembourses jusqu'a maintenant,voiture (nouveau),5866.0,comprise entre 100 et 500,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,30.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,compris entre 0 et 200,2 credits,oui
12,compte critique /autres credits existants (pas dans cette banque),business,1264.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,57.0,aucun credit,locataire,non qualifie,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
12,credits deja rembourses jusqu'a maintenant,radio / television,2319.0,inferieur a 100,inferieur a 1 an,superieur a 35%,femme:divorcee/separee/mariee,aucun,inferieur a 1 an,assurance-vie,33.0,banque,proprietaire,cadres,1 personne,avec telephone,credit bien rembourse,superieur ou egale a 200,1 credit,oui
42,compte critique /autres credits existants (pas dans cette banque),appareils menagers,4746.0,inferieur a 100,inferieur a 1 an,superieur a 35%,celibataire,aucun,compris entre 1 et 4 ans,assurance-vie,25.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,credit avec impaye,compris entre 0 et 200,2 credits,oui
42,compte critique /autres credits existants (pas dans cette banque),vacances,6110.0,inferieur a 100,compris entre 1 et 4 ans,inferieur a 20%,celibataire,aucun,compris entre 4 et 7 ans,inconnu / pas de propriete,31.0,banque,logement gratuit,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,pas de compte courant,1 credit,oui
18,credits deja rembourses jusqu'a maintenant,appareils menagers,2100.0,inferieur a 100,compris entre 1 et 4 ans,superieur a 35%,celibataire,co-demandeur,compris entre 1 et 4 ans,immobilier,37.0,etablissements de credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit avec impaye,superieur ou egale a 200,1 credit,oui
10,credits deja rembourses jusqu'a maintenant,reparations,1225.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,37.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,superieur ou egale a 200,1 credit,oui
9,credits deja rembourses jusqu'a maintenant,appareils menagers,458.0,inferieur a 100,compris entre 1 et 4 ans,superieur a 35%,celibataire,aucun,compris entre 4 et 7 ans,immobilier,24.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
30,credits deja rembourses jusqu'a maintenant,appareils menagers,2333.0,comprise entre 500 et 1000,superieur a 7 ans,superieur a 35%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,30.0,banque,proprietaire,cadres,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
12,credits deja rembourses jusqu'a maintenant,appareils menagers,1158.0,comprise entre 500 et 1000,compris entre 1 et 4 ans,compris entre 25% et 35%,homme:divorce/separe,aucun,inferieur a 1 an,voiture ou autre,33.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
18,retard dans le paiement dans le passe,education,6204.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,superieur a 7 ans,immobilier,44.0,aucun credit,proprietaire,non qualifie,2 personne,avec telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
30,compte critique /autres credits existants (pas dans cette banque),voiture (utilise),6187.0,comprise entre 100 et 500,compris entre 4 et 7 ans,inferieur a 20%,homme: marie/veuf,aucun,superieur a 7 ans,voiture ou autre,24.0,aucun credit,locataire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,inferieur a 0,2 credits,oui
42,compte critique /autres credits existants (pas dans cette banque),voiture (utilise),2319.0,inferieur a 100,superieur a 7 ans,superieur a 35%,femme:divorcee/separee/mariee,aucun,superieur a 7 ans,inconnu / pas de propriete,58.0,etablissements de credit,logement gratuit,non qualifie,1 personne,sans telephone,credit avec impaye,inferieur a 0,2 credits,oui
11,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),1393.0,inferieur a 100,inferieur a 1 an,superieur a 35%,femme:divorcee/separee/mariee,aucun,superieur a 7 ans,voiture ou autre,35.0,aucun credit,proprietaire,cadres,1 personne,sans telephone,credit bien rembourse,pas de compte courant,2 credits,oui
36,credits deja rembourses jusqu'a maintenant,appareils menagers,2299.0,comprise entre 500 et 1000,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,voiture ou autre,39.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
6,credits deja rembourses jusqu'a maintenant,voiture (utilise),1352.0,comprise entre 500 et 1000,sans emploi,inferieur a 20%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,assurance-vie,23.0,aucun credit,locataire,sans emploi,1 personne,avec telephone,credit bien rembourse,inferieur a 0,1 credit,oui
11,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),7228.0,inferieur a 100,compris entre 1 et 4 ans,inferieur a 20%,celibataire,aucun,superieur a 7 ans,assurance-vie,39.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,credit bien rembourse,pas de compte courant,2 credits,oui
12,credits deja rembourses jusqu'a maintenant,appareils menagers,2073.0,comprise entre 100 et 500,compris entre 1 et 4 ans,superieur a 35%,femme:divorcee/separee/mariee,co-demandeur,compris entre 1 et 4 ans,immobilier,28.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
24,retard dans le paiement dans le passe,radio / television,2333.0,compte d'epargne inconnu / non,inferieur a 1 an,superieur a 35%,celibataire,aucun,compris entre 1 et 4 ans,assurance-vie,29.0,banque,proprietaire,non qualifie,1 personne,sans telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
27,retard dans le paiement dans le passe,voiture (utilise),5965.0,inferieur a 100,superieur a 7 ans,inferieur a 20%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,30.0,aucun credit,proprietaire,cadres,1 personne,avec telephone,credit bien rembourse,compris entre 0 et 200,2 credits,oui
12,credits deja rembourses jusqu'a maintenant,appareils menagers,1262.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 25% et 35%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,25.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
18,credits deja rembourses jusqu'a maintenant,voiture (utilise),3378.0,compte d'epargne inconnu / non,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,inferieur a 1 an,assurance-vie,31.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,pas de compte courant,1 credit,oui
36,retard dans le paiement dans le passe,voiture (nouveau),2225.0,inferieur a 100,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,57.0,banque,logement gratuit,employe qualifie / fonctionnaire,1 personne,avec telephone,credit avec impaye,compris entre 0 et 200,2 credits,oui
6,tous les credits de cette banque ont ete rembourses,voiture (nouveau),783.0,compte d'epargne inconnu / non,compris entre 1 et 4 ans,inferieur a 20%,celibataire,garant,compris entre 1 et 4 ans,immobilier,26.0,etablissements de credit,proprietaire,non qualifie,2 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
12,credits deja rembourses jusqu'a maintenant,appareils menagers,6468.0,compte d'epargne inconnu / non,sans emploi,compris entre 20% et 25%,celibataire,aucun,inferieur a 1 an,inconnu / pas de propriete,52.0,aucun credit,proprietaire,cadres,1 personne,avec telephone,credit avec impaye,compris entre 0 et 200,1 credit,oui
36,compte critique /autres credits existants (pas dans cette banque),appareils menagers,7870.5,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,voiture ou autre,31.0,etablissements de credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,2 credits,oui
18,credits deja rembourses jusqu'a maintenant,voiture (nouveau),1961.0,inferieur a 100,superieur a 7 ans,compris entre 25% et 35%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,voiture ou autre,23.0,aucun credit,proprietaire,cadres,1 personne,sans telephone,credit bien rembourse,superieur ou egale a 200,1 credit,oui
36,compte critique /autres credits existants (pas dans cette banque),radio / television,6229.0,inferieur a 100,inferieur a 1 an,superieur a 35%,femme:divorcee/separee/mariee,co-demandeur,superieur a 7 ans,inconnu / pas de propriete,23.0,aucun credit,locataire,non qualifie,1 personne,avec telephone,credit avec impaye,inferieur a 0,2 credits,oui
9,credits deja rembourses jusqu'a maintenant,business,1391.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,homme: marie/veuf,aucun,inferieur a 1 an,immobilier,27.0,banque,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
15,compte critique /autres credits existants (pas dans cette banque),appareils menagers,1537.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,garant,superieur a 7 ans,immobilier,50.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,compris entre 0 et 200,2 credits,oui
36,aucun credit pris /tous les credits ont ete rembourses,business,1953.0,inferieur a 100,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,61.0,aucun credit,logement gratuit,cadres,1 personne,avec telephone,credit avec impaye,compris entre 0 et 200,1 credit,oui
42,aucun credit pris /tous les credits ont ete rembourses,business,7870.5,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,25.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit avec impaye,compris entre 0 et 200,1 credit,oui
24,credits deja rembourses jusqu'a maintenant,appareils menagers,3181.0,inferieur a 100,inferieur a 1 an,superieur a 35%,femme:divorcee/separee/mariee,aucun,superieur a 7 ans,assurance-vie,26.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,pas de compte courant,1 credit,oui
27,credits deja rembourses jusqu'a maintenant,education,5190.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,assurance-vie,48.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,2 personne,avec telephone,credit bien rembourse,pas de compte courant,superieur a 7 ans,oui
12,credits deja rembourses jusqu'a maintenant,appareils menagers,2171.0,inferieur a 100,inferieur a 1 an,compris entre 20% et 25%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,voiture ou autre,29.0,banque,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
12,credits deja rembourses jusqu'a maintenant,voiture (nouveau),1007.0,superieur a 1000,compris entre 1 et 4 ans,superieur a 35%,homme: marie/veuf,aucun,inferieur a 1 an,immobilier,22.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
36,credits deja rembourses jusqu'a maintenant,vacances,1819.0,inferieur a 100,compris entre 1 et 4 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,37.0,etablissements de credit,logement gratuit,employe qualifie / fonctionnaire,1 personne,avec telephone,credit avec impaye,pas de compte courant,1 credit,oui
36,credits deja rembourses jusqu'a maintenant,appareils menagers,2394.0,compte d'epargne inconnu / non,compris entre 1 et 4 ans,superieur a 35%,femme:divorcee/separee/mariee,aucun,superieur a 7 ans,voiture ou autre,25.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
36,credits deja rembourses jusqu'a maintenant,voiture (utilise),7870.5,inferieur a 100,compris entre 1 et 4 ans,inferieur a 20%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,assurance-vie,30.0,banque,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
7,compte critique /autres credits existants (pas dans cette banque),appareils menagers,730.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,aucun,compris entre 1 et 4 ans,assurance-vie,46.0,aucun credit,locataire,non qualifie,1 personne,avec telephone,credit bien rembourse,pas de compte courant,2 credits,oui
8,compte critique /autres credits existants (pas dans cette banque),mobilier / equipement,1164.0,inferieur a 100,superieur a 7 ans,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,51.0,banque,logement gratuit,cadres,2 personne,avec telephone,credit bien rembourse,inferieur a 0,2 credits,oui
42,compte critique /autres credits existants (pas dans cette banque),business,5954.0,inferieur a 100,compris entre 4 et 7 ans,compris entre 20% et 25%,femme:divorcee/separee/mariee,aucun,inferieur a 1 an,immobilier,41.0,banque,proprietaire,non qualifie,1 personne,sans telephone,credit bien rembourse,compris entre 0 et 200,2 credits,oui
36,credits deja rembourses jusqu'a maintenant,vacances,1977.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,40.0,aucun credit,proprietaire,cadres,1 personne,avec telephone,credit avec impaye,inferieur a 0,1 credit,oui
12,compte critique /autres credits existants (pas dans cette banque),voiture (utilise),1526.0,inferieur a 100,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,64.5,aucun credit,logement gratuit,cadres,1 personne,sans telephone,credit bien rembourse,inferieur a 0,2 credits,oui
42,credits deja rembourses jusqu'a maintenant,appareils menagers,3965.0,inferieur a 100,inferieur a 1 an,superieur a 35%,celibataire,aucun,compris entre 4 et 7 ans,voiture ou autre,34.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit avec impaye,inferieur a 0,1 credit,oui
11,retard dans le paiement dans le passe,appareils menagers,4771.0,inferieur a 100,compris entre 4 et 7 ans,compris entre 20% et 25%,celibataire,aucun,superieur a 7 ans,assurance-vie,51.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
42,aucun credit pris /tous les credits ont ete rembourses,voiture (utilise),7870.5,compte d'epargne inconnu / non,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 1 et 4 ans,assurance-vie,39.0,aucun credit,proprietaire,non qualifie,2 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
30,credits deja rembourses jusqu'a maintenant,radio / television,3832.0,inferieur a 100,inferieur a 1 an,compris entre 20% et 25%,homme: marie/veuf,aucun,inferieur a 1 an,assurance-vie,22.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
24,credits deja rembourses jusqu'a maintenant,appareils menagers,5943.0,compte d'epargne inconnu / non,inferieur a 1 an,inferieur a 20%,femme:divorcee/separee/mariee,aucun,inferieur a 1 an,voiture ou autre,44.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit avec impaye,pas de compte courant,2 credits,oui
15,credits deja rembourses jusqu'a maintenant,appareils menagers,1213.0,comprise entre 500 et 1000,superieur a 7 ans,superieur a 35%,celibataire,aucun,compris entre 4 et 7 ans,assurance-vie,47.0,etablissements de credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,pas de compte courant,1 credit,oui
18,credits deja rembourses jusqu'a maintenant,business,1568.0,comprise entre 100 et 500,compris entre 1 et 4 ans,compris entre 25% et 35%,femme:divorcee/separee/mariee,aucun,superieur a 7 ans,assurance-vie,24.0,aucun credit,locataire,non qualifie,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
24,credits deja rembourses jusqu'a maintenant,mobilier / equipement,1755.0,inferieur a 100,superieur a 7 ans,superieur a 35%,femme:divorcee/separee/mariee,garant,superieur a 7 ans,immobilier,58.0,aucun credit,proprietaire,non qualifie,1 personne,avec telephone,credit bien rembourse,inferieur a 0,1 credit,oui
10,credits deja rembourses jusqu'a maintenant,appareils menagers,2315.0,inferieur a 100,superieur a 7 ans,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,immobilier,52.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,credit bien rembourse,inferieur a 0,1 credit,oui
12,compte critique /autres credits existants (pas dans cette banque),business,1412.0,inferieur a 100,compris entre 1 et 4 ans,superieur a 35%,femme:divorcee/separee/mariee,garant,compris entre 1 et 4 ans,immobilier,29.0,aucun credit,proprietaire,cadres,1 personne,avec telephone,credit bien rembourse,pas de compte courant,2 credits,oui
